지방청,표지,일시,풍향,유향,파향,기온,수온,시정,풍속,유속,파고,기압,습도,염분
부산청,오륙도등대,2019-03-01 00:49,354.0,,,10.3,,,0.3,,,1012.6,65.0,
부산청,부산항신항중앙C호등부표,2019-03-01 00:49,315.0,,,9.7,11.7,,0.72,,,1017.8,74.0,19.0
부산청,가덕도등대,2019-03-01 00:49,48.0,,,9.2,,,5.4,,,1007.2,60.0,
부산청,남항동방파제등대,2019-03-01 00:53,18.0,,,10.2,,,1.5,,,1016.8,65.0,
부산청,감천항유도등부표(랜비),2019-03-01 00:53,173.0,,,10.3,14.1,,2.4,,,1017.6,61.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 00:53,154.0,,,10.2,14.5,,40.0,,,1017.7,68.0,18.0
부산청,부산항신항다목적부두,2019-03-01 00:54,,,,,,7.2,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 00:54,,,,,,5.9,,,,,,
부산청,가덕도등대,2019-03-01 00:58,46.0,,,9.8,,,5.29,,,1007.2,61.0,
부산청,부산항신항중앙C호등부표,2019-03-01 00:58,52.0,,,9.6,11.7,,0.0,,,1017.8,73.0,19.0
부산청,송정리등표,2019-03-01 00:58,350.0,,,8.9,,,2.6,,,1017.2,70.0,
부산청,오륙도등대,2019-03-01 00:58,149.0,,,10.2,,,0.1,,,1012.7,66.0,
부산청,남항동방파제등대,2019-03-01 00:59,17.0,,,9.6,,,1.8,,,1016.8,64.0,
부산청,감천항유도등부표(랜비),2019-03-01 00:59,175.0,,,10.4,14.0,,2.0,,,966.8,60.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 00:59,174.0,,,10.2,14.5,,35.0,,,1017.7,68.0,18.0
부산청,부산항신항다목적부두,2019-03-01 01:03,,,,,,7.0,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 01:03,,,,,,6.7,,,,,,
부산청,송정리등표,2019-03-01 01:04,348.0,,,8.9,,,2.5,,,1017.2,71.0,
부산청,오륙도등대,2019-03-01 01:04,38.0,,,10.2,,,0.3,,,1012.7,65.0,
부산청,부산항신항중앙C호등부표,2019-03-01 01:04,0.0,,,9.5,11.7,,0.0,,,1017.9,72.0,19.0
부산청,가덕도등대,2019-03-01 01:04,44.0,,,9.8,,,5.0,,,1007.3,61.0,
부산청,남항동방파제등대,2019-03-01 01:08,9.0,,,10.2,,,2.2,,,1016.9,65.0,
부산청,감천항유도등부표(랜비),2019-03-01 01:08,177.0,,,10.4,14.1,,2.1,,,1017.7,61.0,20.0
부산청,부산항유도등부표(랜비),2019-03-01 01:08,161.0,,,10.4,14.5,,38.0,,,1017.8,68.0,18.0
부산청,부산항신항다목적부두,2019-03-01 01:09,,,,,,7.4,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 01:09,,,,,,6.7,,,,,,
부산청,가덕도등대,2019-03-01 01:13,46.0,,,9.9,,,5.29,,,1007.3,61.0,
부산청,부산항신항중앙C호등부표,2019-03-01 01:13,0.0,,,8.7,11.7,,0.0,,,1017.9,71.0,18.0
부산청,오륙도등대,2019-03-01 01:13,155.0,,,10.1,,,0.3,,,1012.8,66.0,
부산청,송정리등표,2019-03-01 01:13,357.0,,,8.7,,,2.7,,,1017.3,71.0,
부산청,남항동방파제등대,2019-03-01 01:14,14.0,,,9.6,,,1.5,,,1016.9,64.0,
부산청,감천항유도등부표(랜비),2019-03-01 01:14,157.0,,,10.0,14.1,,2.1,,,1017.8,60.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 01:14,160.0,,,10.3,14.5,,43.0,,,1017.8,68.0,18.0
부산청,부산항신항다목적부두,2019-03-01 01:18,,,,,,7.8,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 01:18,,,,,,7.2,,,,,,
부산청,가덕도등대,2019-03-01 01:19,45.0,,,9.8,,,5.5,,,1007.2,61.0,
부산청,송정리등표,2019-03-01 01:19,354.0,,,8.8,,,2.7,,,1017.3,71.0,
부산청,오륙도등대,2019-03-01 01:19,15.0,,,10.2,,,0.51,,,1012.8,64.0,
부산청,부산항신항중앙C호등부표,2019-03-01 01:19,2.0,,,8.7,11.7,,0.1,,,1017.8,71.0,19.0
부산청,감천항유도등부표(랜비),2019-03-01 01:20,160.0,,,9.9,14.1,,1.9,,,1017.8,60.0,19.0
부산청,남항동방파제등대,2019-03-01 01:23,17.0,,,10.2,,,1.5,,,1016.9,65.0,
부산청,감천항유도등부표(랜비),2019-03-01 01:23,159.0,,,10.0,14.1,,2.0,,,1017.8,60.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 01:23,155.0,,,9.8,14.5,,34.0,,,1017.9,67.0,18.0
부산청,부산항신항다목적부두,2019-03-01 01:24,,,,,,6.9,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 01:24,,,,,,6.3,,,,,,
부산청,가덕도등대,2019-03-01 01:28,42.0,,,9.2,,,5.4,,,1007.2,61.0,
부산청,오륙도등대,2019-03-01 01:28,69.0,,,10.1,,,0.0,,,1012.8,65.0,
부산청,송정리등표,2019-03-01 01:28,356.0,,,8.6,,,3.0,,,1017.3,72.0,
부산청,부산항신항중앙C호등부표,2019-03-01 01:28,328.0,,,8.8,11.7,,1.7,,,1017.8,73.0,19.0
부산청,남항동방파제등대,2019-03-01 01:29,10.0,,,10.1,,,1.7,,,1016.8,66.0,
부산청,감천항유도등부표(랜비),2019-03-01 01:29,160.0,,,10.2,14.0,,2.0,,,966.8,61.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 01:29,153.0,,,9.2,14.5,,37.0,,,1017.8,67.0,17.0
부산청,부산항신항다목적부두,2019-03-01 01:33,,,,,,6.9,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 01:33,,,,,,5.7,,,,,,
부산청,가덕도등대,2019-03-01 01:34,40.0,,,9.7,,,5.19,,,1007.3,61.0,
부산청,부산항신항중앙C호등부표,2019-03-01 01:34,327.0,,,8.8,11.7,,3.0,,,1017.9,74.0,19.0
부산청,송정리등표,2019-03-01 01:34,359.0,,,8.5,,,3.2,,,1017.3,73.0,
부산청,오륙도등대,2019-03-01 01:34,50.0,,,10.1,,,1.3,,,1012.6,66.0,
