발생일자,시설명,시설관리번호,압력,단위,자료 수집 TAG 설명,TAGSN,변경일자
2020021114,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021113,일산정수장,4128112315,1480,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021113,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021113,일산정수장,4128112315,4420,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021113,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021112,일산정수장,4128112315,1460,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021112,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021112,일산정수장,4128112315,3490,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021112,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021111,일산정수장,4128112315,1310,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021111,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021111,일산정수장,4128112315,3550,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021111,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021110,일산정수장,4128112315,1260,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021110,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021110,일산정수장,4128112315,4330,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021110,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021109,일산정수장,4128112315,1510,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021109,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021109,일산정수장,4128112315,3670,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021109,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021108,일산정수장,4128112315,1580,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021108,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021108,일산정수장,4128112315,4110,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021108,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021107,일산정수장,4128112315,810,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021107,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021107,일산정수장,4128112315,5180,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021107,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021106,일산정수장,4128112315,720,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021106,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021106,일산정수장,4128112315,5300,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021106,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021105,일산정수장,4128112315,720,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021105,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021105,일산정수장,4128112315,5310,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021105,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021104,일산정수장,4128112315,730,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021104,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021104,일산정수장,4128112315,5310,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021104,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021103,일산정수장,4128112315,1190,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021103,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021103,일산정수장,4128112315,5060,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021103,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021102,일산정수장,4128112315,1610,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021102,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021102,일산정수장,4128112315,4850,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021102,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021101,일산정수장,4128112315,1610,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021101,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021101,일산정수장,4128112315,4990,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021101,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021024,일산정수장,4128112315,1510,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021024,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021024,일산정수장,4128112315,4560,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021024,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021023,일산정수장,4128112315,1520,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021023,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021023,일산정수장,4128112315,4580,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021023,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021022,일산정수장,4128112315,1640,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021022,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021022,일산정수장,4128112315,4220,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021022,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021021,일산정수장,4128112315,1590,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021021,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021021,일산정수장,4128112315,3960,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021021,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021020,일산정수장,4128112315,1430,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021020,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021020,일산정수장,4128112315,3660,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021020,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021019,일산정수장,4128112315,1380,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021019,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021019,일산정수장,4128112315,3770,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021019,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021018,일산정수장,4128112315,1370,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021018,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021018,일산정수장,4128112315,3660,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021018,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021017,일산정수장,4128112315,1490,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021017,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021017,일산정수장,4128112315,4190,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021017,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021016,일산정수장,4128112315,1490,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021016,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021016,일산정수장,4128112315,4200,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021016,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021015,일산정수장,4128112315,1490,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021015,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021015,일산정수장,4128112315,4190,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021015,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021014,일산정수장,4128112315,1450,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021014,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021014,일산정수장,4128112315,4290,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021014,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021013,일산정수장,4128112315,1360,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021013,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021013,일산정수장,4128112315,4540,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021013,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021012,일산정수장,4128112315,1250,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021012,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021012,일산정수장,4128112315,3760,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021012,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021011,일산정수장,4128112315,1340,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021011,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021011,일산정수장,4128112315,3490,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021011,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021010,일산정수장,4128112315,960,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021010,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021010,일산정수장,4128112315,4570,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021010,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021009,일산정수장,4128112315,1110,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021009,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021009,일산정수장,4128112315,5700,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021009,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021008,일산정수장,4128112315,1080,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021008,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021008,일산정수장,4128112315,5470,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021008,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021007,일산정수장,4128112315,960,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021007,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021007,일산정수장,4128112315,4600,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021007,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021006,일산정수장,4128112315,1310,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021006,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021006,일산정수장,4128112315,4330,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021006,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021005,일산정수장,4128112315,1610,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021005,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021005,일산정수장,4128112315,4100,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021005,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021004,일산정수장,4128112315,1610,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021004,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021004,일산정수장,4128112315,4120,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021004,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021003,일산정수장,4128112315,1610,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021003,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021003,일산정수장,4128112315,4100,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021003,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021002,일산정수장,4128112315,1610,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021002,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021002,일산정수장,4128112315,4120,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021002,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021001,일산정수장,4128112315,1470,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021001,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021001,일산정수장,4128112315,4440,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021001,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020924,일산정수장,4128112315,1500,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020924,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020924,일산정수장,4128112315,4440,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020924,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020923,일산정수장,4128112315,1760,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020923,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020923,일산정수장,4128112315,4430,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020923,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020922,일산정수장,4128112315,1830,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020922,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020922,일산정수장,4128112315,4160,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020922,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020921,일산정수장,4128112315,1790,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020921,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020921,일산정수장,4128112315,4020,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020921,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020020920,일산정수장,4128112315,1740,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020020920,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020020920,일산정수장,4128112315,4110,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020020920,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
